NUMERO PEDIDO,NUMERO FACTURA,COD-ART,ESTATUS LINEA,ESTATUS LINEA FDV,CANT PEDIDA,CANTIDAD ART,VENTA DOLARES
P061406426041660518,0075629,21-01-161,DESPACHADO,DESPACHADO,3.0,3.0,9.45
P061406426041660518,0075629,23-10-122,DESPACHADO,DESPACHADO,500.0,500.0,105.0
P015313926042960701,03377373,07-06-341,DESPACHADO,DESPACHADO,2.0,2.0,22.964
P015313926042960701,03377373,14-09-434,DESPACHADO,DESPACHADO,2.0,2.0,23.35
P015313926042960701,03377373,20-03-366,DESPACHADO,DESPACHADO,2.0,2.0,6.164
P015313926041760646,03375144,25-03-063,DESPACHADO,DESPACHADO,2.0,2.0,3.348
P015313926041760646,03375144,09-02-320,DESPACHADO,DESPACHADO,2.0,2.0,16.032
P015313926041860650,03375287,15-03-932,DESPACHADO,DESPACHADO,2.0,2.0,66.72
P015313926042260666,03375892,10-01-116,DESPACHADO,DESPACHADO,2.0,2.0,11.34
P015313926050460710,03377706,14-01-397,DESPACHADO,DESPACHADO,2.0,2.0,60.4
P060844426042960020,0077591,21-07-015,DESPACHADO,DESPACHADO,2.0,2.0,97.5
P015313926042060657,03375498,01-12-482,DESPACHADO,DESPACHADO,30.0,30.0,55.8
P015313926042260666,03375892,10-01-133,DESPACHADO,DESPACHADO,6.0,6.0,31.08
P015313926042260666,03375892,10-01-131,DESPACHADO,DESPACHADO,6.0,6.0,25.02
P015313926042960699,03377103,07-06-232,DESPACHADO,DESPACHADO,4.0,4.0,40.88
P015313926042060657,03375498,01-24-265,DESPACHADO,DESPACHADO,10.0,10.0,33.9
P015313926042260666,03375892,10-01-142,DESPACHADO,DESPACHADO,10.0,10.0,42.4
P015313926050560713,03377846,14-09-651,DESPACHADO,DESPACHADO,8.0,8.0,40.88
P015313926042060656,03375502,14-09-382,DESPACHADO,DESPACHADO,8.0,8.0,38.52
P015313926050560713,03377846,01-01-170,DESPACHADO,DESPACHADO,30.0,30.0,44.1
P015313926050560713,03377846,01-01-160,DESPACHADO,DESPACHADO,30.0,30.0,20.7
P015313926042060656,03375502,01-01-166,DESPACHADO,DESPACHADO,20.0,20.0,7.58
